"","station_name","date","daily_entries","daily_exits","daily_total","percent_entries"
"1","1 AV","01/01/2020",7253,9266,16519,43.907016163206
"2","103 ST","01/01/2020",15830,12377,28207,56.1208210727834
"3","103 ST-CORONA","01/01/2020",8467,7898,16365,51.7384662389245
"4","104 ST","01/01/2020",1381,758,2139,64.5628798503974
"5","110 ST","01/01/2020",4390,5084,9474,46.3373443107452
"6","111 ST","01/01/2020",6234,5012,11246,55.4330428596834
"7","116 ST","01/01/2020",16303,11134,27437,59.4197616357473
"8","116 ST-COLUMBIA","01/01/2020",3377,1955,5332,63.3345836459115
"9","121 ST","01/01/2020",872,636,1508,57.8249336870027
"10","125 ST","01/01/2020",32464,32498,64962,49.9738308549614
"11","135 ST","01/01/2020",8453,4382,12835,65.8589793533307
"12","137 ST CITY COL","01/01/2020",6125,5944,12069,50.7498550004143
"13","138/GRAND CONC","01/01/2020",555,694,1249,44.435548438751
"14","14 ST","01/01/2020",25507,24930,50437,50.5720007137617
"15","14 ST-UNION SQ","01/01/2020",38917,39399,78316,49.6922723326013
"16","145 ST","01/01/2020",16317,17024,33341,48.9397438589125
"17","149/GRAND CONC","01/01/2020",3702,3175,6877,53.8316126217828
"18","14TH STREET","01/01/2020",4060,3344,7404,54.8352242031334
"19","15 ST-PROSPECT","01/01/2020",2673,1997,4670,57.237687366167
"20","155 ST","01/01/2020",3519,3055,6574,53.5290538484941
"21","157 ST","01/01/2020",5787,4664,10451,55.3726916084585
"22","161/YANKEE STAD","01/01/2020",7669,5023,12692,60.4238890639773
"23","163 ST-AMSTERDM","01/01/2020",2504,2787,5291,47.3256473256473
"24","167 ST","01/01/2020",6943,5760,12703,54.6563803825868
"25","168 ST","01/01/2020",7653,5578,13231,57.8414329982617
"26","169 ST","01/01/2020",2864,3430,6294,45.5036542739117
"27","170 ST","01/01/2020",6188,5104,11292,54.7998583067658
"28","174 ST","01/01/2020",2366,3100,5466,43.2857665568972
"29","174-175 STS","01/01/2020",2044,1312,3356,60.9058402860548
"30","175 ST","01/01/2020",5516,3859,9375,58.8373333333333
"31","176 ST","01/01/2020",2244,1585,3829,58.6053799947767
"32","18 AV","01/01/2020",6864,4495,11359,60.4278545646624
"33","18 ST","01/01/2020",2302,1695,3997,57.5931948961721
"34","181 ST","01/01/2020",9763,11009,20772,47.000770267668
"35","182-183 STS","01/01/2020",1429,856,2285,62.5382932166302
"36","183 ST","01/01/2020",2387,1596,3983,59.9297012302285
"37","190 ST","01/01/2020",1115,248,1363,81.8048422597212
"38","191 ST","01/01/2020",3658,4639,8297,44.0882246595155
"39","2 AV","01/01/2020",12111,10757,22868,52.9604687773308
"40","20 AV","01/01/2020",4098,2550,6648,61.6425992779783
"41","207 ST","01/01/2020",2675,1390,4065,65.8056580565806
"42","21 ST","01/01/2020",673,756,1429,47.0958712386284
"43","21 ST-QNSBRIDGE","01/01/2020",5583,5892,11475,48.6535947712418
"44","215 ST","01/01/2020",694,325,1019,68.1059862610402
"45","219 ST","01/01/2020",1483,985,2468,60.0891410048622
"46","225 ST","01/01/2020",1286,943,2229,57.6940331987438
"47","23 ST","01/01/2020",37888,31804,69692,54.3649199334213
"48","231 ST","01/01/2020",3599,683,4282,84.049509574965
"49","233 ST","01/01/2020",2009,824,2833,70.9142252029651
"50","238 ST","01/01/2020",1639,105,1744,93.9793577981651
"51","25 AV","01/01/2020",1965,681,2646,74.2630385487528
"52","25 ST","01/01/2020",1626,1667,3293,49.3774673549954
"53","28 ST","01/01/2020",18231,18335,36566,49.8577913909096
"54","3 AV","01/01/2020",2939,2907,5846,50.2736914129319
"55","3 AV 138 ST","01/01/2020",2732,1973,4705,58.0658873538788
"56","3 AV-149 ST","01/01/2020",7672,4537,12209,62.8388893439266
"57","30 AV","01/01/2020",5290,5563,10853,48.7422832396572
"58","33 ST","01/01/2020",9793,9059,18852,51.9467430511352
"59","33 ST-RAWSON ST","01/01/2020",1000,1234,2234,44.762757385855
"60","34 ST-HERALD SQ","01/01/2020",59038,56869,115907,50.9356639374671
"61","34 ST-HUDSON YD","01/01/2020",13565,13316,26881,50.4631524124847
"62","34 ST-PENN STA","01/01/2020",69166,73622,142788,48.4396447880774
"63","36 AV","01/01/2020",2410,3079,5489,43.9059938057934
"64","36 ST","01/01/2020",6317,5006,11323,55.7891018281374
"65","39 AV","01/01/2020",1795,2229,4024,44.6073558648111
"66","4 AV-9 ST","01/01/2020",1595,2248,3843,41.504033307312
"67","40 ST LOWERY ST","01/01/2020",3638,4405,8043,45.2318786522442
"68","42 ST-BRYANT PK","01/01/2020",21583,16735,38318,56.3260086643353
"69","42 ST-PORT AUTH","01/01/2020",55733,51401,107134,52.0217671327496
"70","45 ST","01/01/2020",3096,2204,5300,58.4150943396226
"71","46 ST","01/01/2020",3249,3079,6328,51.3432364096081
"72","46 ST BLISS ST","01/01/2020",5081,5209,10290,49.3780369290573
"73","47-50 STS ROCK","01/01/2020",34797,28660,63457,54.8355579368706
"74","49 ST","01/01/2020",14840,12002,26842,55.2864913195738
"75","4AV-9 ST","01/01/2020",3489,2863,6352,54.9275818639798
"76","5 AV/53 ST","01/01/2020",8391,9104,17495,47.9622749356959
"77","5 AV/59 ST","01/01/2020",10217,8095,18312,55.7940148536479
"78","5 AVE","01/01/2020",6268,5232,11500,54.5043478260869
"79","50 ST","01/01/2020",33645,24932,58577,57.4372193864486
"80","51 ST","01/01/2020",8559,9199,17758,48.1979952697376
"81","52 ST","01/01/2020",2743,3121,5864,46.7769440654843
"82","53 ST","01/01/2020",3401,4148,7549,45.0523248112333
"83","55 ST","01/01/2020",1454,996,2450,59.3469387755102
"84","57 ST","01/01/2020",12769,10423,23192,55.0577785443256
"85","57 ST-7 AV","01/01/2020",15946,9026,24972,63.855518180362
"86","59 ST","01/01/2020",22521,21109,43630,51.6181526472611
"87","59 ST COLUMBUS","01/01/2020",37533,30171,67704,55.4369018078696
"88","6 AV","01/01/2020",914,953,1867,48.9555436529191
"89","61 ST WOODSIDE","01/01/2020",7006,7401,14407,48.6291386131741
"90","63 DR-REGO PARK","01/01/2020",4749,2112,6861,69.2173152601662
"91","65 ST","01/01/2020",1522,1355,2877,52.9023288147376
"92","66 ST-LINCOLN","01/01/2020",11659,11084,22743,51.2641252253441
"93","67 AV","01/01/2020",2576,1609,4185,61.5531660692951
"94","68ST-HUNTER CO","01/01/2020",5301,5472,10773,49.2063492063492
"95","69 ST","01/01/2020",2400,2979,5379,44.6179587283882
"96","7 AV","01/01/2020",18900,17493,36393,51.933064050779
"97","71 ST","01/01/2020",2408,1072,3480,69.1954022988506
"98","72 ST","01/01/2020",27310,24952,52262,52.2559412192415
"99","72 ST-2 AVE","01/01/2020",11481,10181,21662,53.0006462930477
"100","74 ST-BROADWAY","01/01/2020",2079,3157,5236,39.7058823529412
"101","75 AV","01/01/2020",1036,358,1394,74.3185078909613
"102","75 ST-ELDERTS","01/01/2020",1341,931,2272,59.0228873239437
"103","77 ST","01/01/2020",10271,10437,20708,49.5991887193355
"104","79 ST","01/01/2020",11340,5627,16967,66.8356220899393
"105","8 AV","01/01/2020",22190,19235,41425,53.5666867833434
"106","8 ST-NYU","01/01/2020",8079,6929,15008,53.831289978678
"107","80 ST","01/01/2020",1770,1190,2960,59.7972972972973
"108","81 ST-MUSEUM","01/01/2020",10318,7358,17676,58.3729350531795
"109","82 ST-JACKSON H","01/01/2020",6775,8838,15613,43.3933260744252
"110","85 ST-FOREST PK","01/01/2020",1448,768,2216,65.3429602888087
"111","86 ST","01/01/2020",32951,36222,69173,47.6356381825279
"112","86 ST-2 AVE","01/01/2020",12786,9773,22559,56.6780442395496
"113","88 ST","01/01/2020",1016,501,1517,66.9742913645353
"114","9 AV","01/01/2020",2992,3517,6509,45.9671224458442
"115","90 ST-ELMHURST","01/01/2020",6983,3844,10827,64.4961669899326
"116","96 ST","01/01/2020",26441,25012,51453,51.3886459487299
"117","96 ST-2 AVE","01/01/2020",8881,7377,16258,54.625415180219
"118","9TH STREET","01/01/2020",3323,2528,5851,56.7937104768416
"119","ALABAMA AV","01/01/2020",918,1143,2061,44.5414847161572
"120","ALLERTON AV","01/01/2020",2177,1138,3315,65.6711915535445
"121","AQUEDUCT N.COND","01/01/2020",300,1481,1781,16.8444693992139
"122","AQUEDUCT RACETR","01/01/2020",1623,221,1844,88.0151843817787
"123","ASTOR PL","01/01/2020",8107,8870,16977,47.7528420804618
"124","ASTORIA BLVD","01/01/2020",2938,3553,6491,45.262671391157
"125","ASTORIA DITMARS","01/01/2020",5812,6659,12471,46.6041215620239
"126","ATL AV-BARCLAY","01/01/2020",26063,22018,48081,54.2064432936087
"127","ATLANTIC AV","01/01/2020",499,268,767,65.0586701434159
"128","AVENUE H","01/01/2020",1160,1214,2374,48.8626790227464
"129","AVENUE I","01/01/2020",544,306,850,64
"130","AVENUE J","01/01/2020",3148,1729,4877,64.5478777937256
"131","AVENUE M","01/01/2020",2905,1042,3947,73.600202685584
"132","AVENUE N","01/01/2020",1232,498,1730,71.2138728323699
"133","AVENUE P","01/01/2020",1025,607,1632,62.8063725490196
"134","AVENUE U","01/01/2020",5729,3200,8929,64.1617202374286
"135","AVENUE X","01/01/2020",981,608,1589,61.7369414726243
"136","B'WAY-LAFAYETTE","01/01/2020",10067,14046,24113,41.749263882553
"137","BAY 50 ST","01/01/2020",1296,246,1542,84.0466926070039
"138","BAY PKWY","01/01/2020",6872,6466,13338,51.521967311441
"139","BAY RIDGE AV","01/01/2020",3086,2335,5421,56.9267662792843
"140","BAY RIDGE-95 ST","01/01/2020",1906,1665,3571,53.3744049285914
"141","BAYCHESTER AV","01/01/2020",1143,325,1468,77.8610354223433
"142","BEACH 105 ST","01/01/2020",46,87,133,34.5864661654135
"143","BEACH 25 ST","01/01/2020",680,995,1675,40.5970149253731
"144","BEACH 36 ST","01/01/2020",465,599,1064,43.703007518797
"145","BEACH 44 ST","01/01/2020",314,465,779,40.3080872913992
"146","BEACH 60 ST","01/01/2020",991,908,1899,52.1853607161664
"147","BEACH 67 ST","01/01/2020",906,930,1836,49.3464052287582
"148","BEACH 90 ST","01/01/2020",377,417,794,47.4811083123426
"149","BEACH 98 ST","01/01/2020",160,187,347,46.1095100864553
"150","BEDFORD AV","01/01/2020",13263,9243,22506,58.930951746201
"151","BEDFORD PK BLVD","01/01/2020",4064,3648,7712,52.6970954356847
"152","BEDFORD-NOSTRAN","01/01/2020",3965,3223,7188,55.1613800779076
"153","BERGEN ST","01/01/2020",7451,5401,12852,57.9754123871771
"154","BEVERLEY ROAD","01/01/2020",1575,1908,3483,45.2196382428941
"155","BEVERLY RD","01/01/2020",1680,473,2153,78.0306549001393
"156","BLEECKER ST","01/01/2020",6975,2811,9786,71.2752912323728
"157","BOROUGH HALL","01/01/2020",7392,6218,13610,54.313005143277
"158","BOTANIC GARDEN","01/01/2020",520,590,1110,46.8468468468468
"159","BOWERY","01/01/2020",3347,2940,6287,53.2368379195165
"160","BOWLING GREEN","01/01/2020",9442,11163,20605,45.8238291676778
"161","BRIARWOOD","01/01/2020",1580,1170,2750,57.4545454545455
"162","BRIGHTON BEACH","01/01/2020",4210,2910,7120,59.1292134831461
"163","BROAD CHANNEL","01/01/2020",60,55,115,52.1739130434783
"164","BROAD ST","01/01/2020",2119,1215,3334,63.5572885422915
"165","BROADWAY","01/01/2020",7647,8640,16287,46.9515564560693
"166","BROADWAY JCT","01/01/2020",3880,4389,8269,46.92223969041
"167","BRONX PARK EAST","01/01/2020",929,487,1416,65.6073446327684
"168","BROOK AV","01/01/2020",2685,3236,5921,45.3470697517311
"169","BROOKLYN BRIDGE","01/01/2020",8313,5184,13497,61.5914647699489
"170","BUHRE AV","01/01/2020",1102,1327,2429,45.3684643886373
"171","BURKE AV","01/01/2020",1478,927,2405,61.4553014553015
"172","BURNSIDE AV","01/01/2020",3699,2578,6277,58.929424884499
"173","BUSHWICK AV","01/01/2020",822,893,1715,47.9300291545189
"174","CANAL ST","01/01/2020",34726,30337,65063,53.3728847424804
"175","CANARSIE-ROCKAW","01/01/2020",4294,3356,7650,56.1307189542484
"176","CARROLL ST","01/01/2020",3743,2397,6140,60.9609120521173
"177","CASTLE HILL AV","01/01/2020",2309,3082,5391,42.8306436653682
"178","CATHEDRAL PKWY","01/01/2020",11550,5931,17481,66.0717350266003
"179","CENTRAL AV","01/01/2020",2973,2887,5860,50.7337883959044
"180","CENTRAL PK N110","01/01/2020",3958,4972,8930,44.3225083986562
"181","CHAMBERS ST","01/01/2020",14706,18712,33418,44.006224190556
"182","CHAUNCEY ST","01/01/2020",1978,1003,2981,66.3535726266354
"183","CHRISTOPHER ST","01/01/2020",8969,7724,16693,53.7291080093452
"184","CHURCH AV","01/01/2020",13912,11911,25823,53.8744530070093
"185","CITY / BUS","01/01/2020",6000,8384,14384,41.7130144605117
"186","CITY HALL","01/01/2020",1573,1024,2597,60.5698883326916
"187","CLARK ST","01/01/2020",4117,3222,7339,56.0975609756098
"188","CLASSON AV","01/01/2020",2481,2960,5441,45.5982356184525
"189","CLEVELAND ST","01/01/2020",1209,1601,2810,43.0249110320285
"190","CLINTON-WASH AV","01/01/2020",4830,3673,8503,56.8034811243091
"191","CONEY IS-STILLW","01/01/2020",10344,7812,18156,56.9729015201586
"192","CORTELYOU RD","01/01/2020",3034,1192,4226,71.7936583057265
"193","CORTLANDT ST","01/01/2020",10806,8472,19278,56.0535325241208
"194","COURT SQ","01/01/2020",3715,4778,8493,43.7419050983163
"195","COURT SQ-23 ST","01/01/2020",1755,610,2365,74.2071881606765
"196","CRESCENT ST","01/01/2020",1940,2561,4501,43.1015329926683
"197","CROWN HTS-UTICA","01/01/2020",9884,9902,19786,49.9545132922268
"198","CYPRESS AV","01/01/2020",1354,1213,2567,52.7463965718738
"199","CYPRESS HILLS","01/01/2020",505,391,896,56.3616071428571
"200","DEKALB AV","01/01/2020",10508,4485,14993,70.086040152071
"201","DELANCEY/ESSEX","01/01/2020",17586,15190,32776,53.6551134976812
"202","DITMAS AV","01/01/2020",1952,1200,3152,61.9289340101523
"203","DYCKMAN ST","01/01/2020",6177,2243,8420,73.3610451306413
"204","E 143/ST MARY'S","01/01/2020",308,382,690,44.6376811594203
"205","E 149 ST","01/01/2020",2552,3191,5743,44.4367055545882
"206","E 180 ST","01/01/2020",2796,2997,5793,48.2651475919213
"207","EAST 105 ST","01/01/2020",1308,1573,2881,45.4009024644221
"208","EAST BROADWAY","01/01/2020",7660,4852,12512,61.2212276214834
"209","EASTCHSTER/DYRE","01/01/2020",1143,1653,2796,40.8798283261803
"210","EASTN PKWY-MUSM","01/01/2020",1814,1828,3642,49.8077979132345
"211","ELDER AV","01/01/2020",2896,3590,6486,44.650015417823
"212","ELMHURST AV","01/01/2020",4816,1612,6428,74.9222153080274
"213","EUCLID AV","01/01/2020",4219,2038,6257,67.4284801022854
"214","EXCHANGE PLACE","01/01/2020",4562,5825,10387,43.9202849715991
"215","FAR ROCKAWAY","01/01/2020",1995,2572,4567,43.6829428508868
"216","FLATBUSH AV-B.C","01/01/2020",6261,4856,11117,56.3191508500495
"217","FLUSHING AV","01/01/2020",5050,4291,9341,54.0627341826357
"218","FLUSHING-MAIN","01/01/2020",27560,28463,56023,49.1940810024454
"219","FORDHAM RD","01/01/2020",8264,4323,12587,65.65504091523
"220","FOREST AVE","01/01/2020",1814,1600,3414,53.1341534856473
"221","FOREST HILLS 71","01/01/2020",8906,5804,14710,60.5438477226377
"222","FRANKLIN AV","01/01/2020",8194,7698,15892,51.5605336018122
"223","FRANKLIN ST","01/01/2020",2005,703,2708,74.03988183161
"224","FREEMAN ST","01/01/2020",2121,2373,4494,47.196261682243
"225","FRESH POND RD","01/01/2020",2454,2813,5267,46.5919878488703
"226","FT HAMILTON PKY","01/01/2020",8626,5499,14125,61.0690265486726
"227","FULTON ST","01/01/2020",39580,34722,74302,53.2690910069715
"228","GATES AV","01/01/2020",3962,1754,5716,69.3142057382785
"229","GRAHAM AV","01/01/2020",3369,2953,6322,53.2900980702309
"230","GRAND ARMY PLAZ","01/01/2020",3939,2176,6115,64.4153720359771
"231","GRAND ST","01/01/2020",16637,12931,29568,56.2669101731602
"232","GRAND-NEWTOWN","01/01/2020",6318,5161,11479,55.039637599094
"233","GRANT AV","01/01/2020",2257,2607,4864,46.4021381578947
"234","GRD CNTRL-42 ST","01/01/2020",43693,47895,91588,47.7060313578198
"235","GREENPOINT AV","01/01/2020",4033,3912,7945,50.7614852108244
"236","GROVE STREET","01/01/2020",8470,11744,20214,41.9016523201741
"237","GUN HILL RD","01/01/2020",4250,5570,9820,43.2790224032587
"238","HALSEY ST","01/01/2020",7097,4604,11701,60.6529356465259
"239","HARLEM 148 ST","01/01/2020",1493,1807,3300,45.2424242424242
"240","HARRISON","01/01/2020",2252,3850,6102,36.9059324811537
"241","HEWES ST","01/01/2020",2045,1712,3757,54.4317274421081
"242","HIGH ST","01/01/2020",6931,8117,15048,46.0592769803296
"243","HOUSTON ST","01/01/2020",4330,3452,7782,55.6412233359034
"244","HOWARD BCH JFK","01/01/2020",3671,2913,6584,55.7563791008506
"245","HOYT ST","01/01/2020",2931,3013,5944,49.3102288021534
"246","HOYT-SCHER","01/01/2020",4849,5046,9895,49.0045477513896
"247","HUNTERS PT AV","01/01/2020",661,769,1430,46.2237762237762
"248","HUNTS POINT AV","01/01/2020",3236,3151,6387,50.6654141224362
"249","INTERVALE AV","01/01/2020",1266,1630,2896,43.7154696132597
"250","INWOOD-207 ST","01/01/2020",3983,2489,6472,61.5420271940667
"251","JACKSON AV","01/01/2020",2214,626,2840,77.9577464788732
"252","JAMAICA 179 ST","01/01/2020",5815,3731,9546,60.9155667295202
"253","JAMAICA CENTER","01/01/2020",9967,10769,20736,48.0661651234568
"254","JAMAICA VAN WK","01/01/2020",1444,1698,3142,45.9579885423297
"255","JAY ST-METROTEC","01/01/2020",10627,7949,18576,57.208225667528
"256","JEFFERSON ST","01/01/2020",5488,1451,6939,79.089205937455
"257","JFK JAMAICA CT1","01/01/2020",8302,4255,12557,66.1145177988373
"258","JKSN HT-ROOSVLT","01/01/2020",23607,22575,46182,51.1173184357542
"259","JOURNAL SQUARE","01/01/2020",10923,11464,22387,48.7917094742484
"260","JUNCTION BLVD","01/01/2020",8183,7794,15977,51.2173749765288
"261","JUNIUS ST","01/01/2020",1017,1364,2381,42.7131457370853
"262","KEW GARDENS","01/01/2020",7530,9138,16668,45.1763858891289
"263","KINGS HWY","01/01/2020",9838,10464,20302,48.4582799724165
"264","KINGSBRIDGE RD","01/01/2020",6743,6177,12920,52.1904024767802
"265","KINGSTON AV","01/01/2020",2539,2651,5190,48.9210019267823
"266","KINGSTON-THROOP","01/01/2020",3555,4444,7999,44.4430553819227
"267","KNICKERBOCKER","01/01/2020",2834,2428,5262,53.8578487267199
"268","KOSCIUSZKO ST","01/01/2020",3344,1608,4952,67.5282714054927
"269","LACKAWANNA","01/01/2020",1465,1955,3420,42.8362573099415
"270","LAFAYETTE AV","01/01/2020",2762,1583,4345,63.5673187571922
"271","LEXINGTON AV/53","01/01/2020",9877,10092,19969,49.4616655816516
"272","LEXINGTON AV/63","01/01/2020",6657,8037,14694,45.304205798285
"273","LIBERTY AV","01/01/2020",966,733,1699,56.8569746909947
"274","LIVONIA AV","01/01/2020",1331,1214,2545,52.2986247544204
"275","LONGWOOD AV","01/01/2020",1355,756,2111,64.1875888204642
"276","LORIMER ST","01/01/2020",5692,3305,8997,63.2655329554296
"277","MARBLE HILL-225","01/01/2020",2253,470,2723,82.7396254131473
"278","MARCY AV","01/01/2020",8201,6891,15092,54.3400477073946
"279","METROPOLITAN AV","01/01/2020",7638,5749,13387,57.0553522073654
"280","METS-WILLETS PT","01/01/2020",1479,1456,2935,50.3918228279387
"281","MIDDLETOWN RD","01/01/2020",570,626,1196,47.6588628762542
"282","MONTROSE AV","01/01/2020",3019,2310,5329,56.6522799774817
"283","MORGAN AV","01/01/2020",3469,2176,5645,61.4526129317981
"284","MORISN AV/SNDVW","01/01/2020",2560,3040,5600,45.7142857142857
"285","MORRIS PARK","01/01/2020",591,847,1438,41.0987482614743
"286","MOSHOLU PKWY","01/01/2020",2814,1030,3844,73.2049947970864
"287","MT EDEN AV","01/01/2020",1844,1410,3254,56.6687154271666
"288","MYRTLE AV","01/01/2020",7240,5276,12516,57.8459571748162
"289","MYRTLE-WILLOUGH","01/01/2020",3151,1880,5031,62.6316835619161
"290","MYRTLE-WYCKOFF","01/01/2020",7779,6876,14655,53.0808597748209
"291","NASSAU AV","01/01/2020",4414,4316,8730,50.561282932417
"292","NECK RD","01/01/2020",1510,526,2036,74.1650294695481
"293","NEPTUNE AV","01/01/2020",424,214,638,66.4576802507837
"294","NEREID AV","01/01/2020",1220,648,1868,65.3104925053533
"295","NEVINS ST","01/01/2020",3479,3646,7125,48.8280701754386
"296","NEW LOTS","01/01/2020",1649,2405,4054,40.6758756783424
"297","NEW LOTS AV","01/01/2020",2207,2903,5110,43.1898238747554
"298","NEW UTRECHT AV","01/01/2020",2491,2091,4582,54.3649061545177
"299","NEWARK BM BW","01/01/2020",5760,476,6236,92.3669018601668
"300","NEWARK C","01/01/2020",626,85,711,88.0450070323488
"301","NEWARK HW BMEBE","01/01/2020",583,82,665,87.6691729323308
"302","NEWKIRK AV","01/01/2020",3137,2636,5773,54.3391650788152
"303","NEWKIRK PLAZA","01/01/2020",4500,4690,9190,48.9662676822633
"304","NORTHERN BLVD","01/01/2020",2537,2437,4974,51.005227181343
"305","NORWOOD 205 ST","01/01/2020",3631,3699,7330,49.5361527967258
"306","NORWOOD AV","01/01/2020",1284,1690,2974,43.1741761936785
"307","NOSTRAND AV","01/01/2020",9483,10179,19662,48.2300884955752
"308","OCEAN PKWY","01/01/2020",1155,697,1852,62.3650107991361
"309","OZONE PK LEFFRT","01/01/2020",2264,2281,4545,49.8129812981298
"310","PARK PLACE","01/01/2020",1654,1650,3304,50.0605326876513
"311","PARKCHESTER","01/01/2020",5799,6723,12522,46.3104935313848
"312","PARKSIDE AV","01/01/2020",3927,2976,6903,56.8883094306823
"313","PARSONS BLVD","01/01/2020",2524,2890,5414,46.6198743997045
"314","PATH NEW WTC","01/01/2020",18058,14800,32858,54.9576967557368
"315","PATH WTC 2","01/01/2020",1378,4279,5657,24.359200989924
"316","PAVONIA/NEWPORT","01/01/2020",5005,7250,12255,40.8404732762138
"317","PELHAM BAY PARK","01/01/2020",2257,1948,4205,53.6741973840666
"318","PELHAM PKWY","01/01/2020",4306,2848,7154,60.1901034386357
"319","PENNSYLVANIA AV","01/01/2020",1691,1071,2762,61.2237509051412
"320","PRESIDENT ST","01/01/2020",1227,1684,2911,42.1504637581587
"321","PRINCE ST","01/01/2020",8011,7531,15542,51.5442028053018
"322","PROSPECT AV","01/01/2020",5291,3492,8783,60.2413753842651
"323","PROSPECT PARK","01/01/2020",3678,4033,7711,47.6980936324731
"324","QUEENS PLAZA","01/01/2020",5318,5100,10418,51.046266077942
"325","QUEENSBORO PLZ","01/01/2020",6217,2286,8503,73.1153710455133
"326","RALPH AV","01/01/2020",3295,2107,5402,60.9959274342836
"327","RECTOR ST","01/01/2020",5269,3609,8878,59.3489524667718
"328","RIT-MANHATTAN","01/01/2020",2954,68,3022,97.7498345466578
"329","RIT-ROOSEVELT","01/01/2020",3252,66,3318,98.0108499095841
"330","ROCKAWAY AV","01/01/2020",4997,4671,9668,51.6859743483657
"331","ROCKAWAY BLVD","01/01/2020",2700,957,3657,73.83100902379
"332","ROCKAWAY PARK B","01/01/2020",306,436,742,41.2398921832884
"333","ROOSEVELT ISLND","01/01/2020",3986,4308,8294,48.0588377140101
"334","SARATOGA AV","01/01/2020",1891,2477,4368,43.2921245421245
"335","SENECA AVE","01/01/2020",1989,1898,3887,51.1705685618729
"336","SHEEPSHEAD BAY","01/01/2020",4301,4661,8962,47.9915197500558
"337","SHEPHERD AV","01/01/2020",1358,1016,2374,57.2030328559393
"338","SIMPSON ST","01/01/2020",3466,1398,4864,71.2582236842105
"339","SMITH-9 ST","01/01/2020",1815,2312,4127,43.9786770050884
"340","SOUTH FERRY","01/01/2020",9298,8861,18159,51.2032600914147
"341","SPRING ST","01/01/2020",10816,7426,18242,59.29174432628
"342","ST LAWRENCE AV","01/01/2020",1737,2233,3970,43.7531486146096
"343","STEINWAY ST","01/01/2020",5202,4671,9873,52.6891522333637
"344","STERLING ST","01/01/2020",2343,1777,4120,56.8689320388349
"345","SUTPHIN BLVD","01/01/2020",2022,1836,3858,52.4105754276827
"346","SUTPHIN-ARCHER","01/01/2020",11199,11757,22956,48.784631468897
"347","SUTTER AV","01/01/2020",1504,1878,3382,44.4707273802484
"348","SUTTER AV-RUTLD","01/01/2020",2622,3463,6085,43.0895645028759
"349","THIRTY ST","01/01/2020",5701,346,6047,94.2781544567554
"350","THIRTY THIRD ST","01/01/2020",14012,1672,15684,89.339454220862
"351","TIMES SQ-42 ST","01/01/2020",52048,59686,111734,46.5820609662234
"352","TREMONT AV","01/01/2020",4214,3273,7487,56.284225991719
"353","TWENTY THIRD ST","01/01/2020",3463,2326,5789,59.8203489376404
"354","UNION ST","01/01/2020",3578,2830,6408,55.83645443196
"355","UTICA AV","01/01/2020",8110,7930,16040,50.5610972568579
"356","V.CORTLANDT PK","01/01/2020",2237,1560,3797,58.9149328417171
"357","VAN SICLEN AV","01/01/2020",2149,3039,5188,41.4225134926754
"358","VAN SICLEN AVE","01/01/2020",1446,1792,3238,44.6571957998765
"359","VERNON-JACKSON","01/01/2020",4956,4927,9883,50.1467165840332
"360","W 4 ST-WASH SQ","01/01/2020",24938,24482,49420,50.461351679482
"361","W 8 ST-AQUARIUM","01/01/2020",1253,1581,2834,44.2131263232181
"362","WAKEFIELD/241","01/01/2020",2308,3158,5466,42.2246615440907
"363","WALL ST","01/01/2020",10321,10209,20530,50.2727715538237
"364","WEST FARMS SQ","01/01/2020",2996,2826,5822,51.4599793885263
"365","WESTCHESTER SQ","01/01/2020",1646,1976,3622,45.4445057979017
"366","WHITEHALL S-FRY","01/01/2020",7173,8107,15280,46.9437172774869
"367","WHITLOCK AV","01/01/2020",723,955,1678,43.0870083432658
"368","WILSON AV","01/01/2020",2013,2283,4296,46.8575418994413
"369","WINTHROP ST","01/01/2020",2684,731,3415,78.5944363103953
"370","WOODHAVEN BLVD","01/01/2020",10450,8298,18748,55.7392788564113
"371","WOODLAWN","01/01/2020",2299,1020,3319,69.2678517625791
"372","WORLD TRADE CTR","01/01/2020",8852,8092,16944,52.2426817752597
"373","WTC-CORTLANDT","01/01/2020",8330,7104,15434,53.9717506803162
"374","YORK ST","01/01/2020",8757,6783,15540,56.3513513513514
"375","ZEREGA AV","01/01/2020",874,1014,1888,46.2923728813559
"376","1 AV","01/02/2020",15443,17949,33392,46.2476042165788
"377","103 ST","01/02/2020",25973,18810,44783,57.9974543911752
"378","103 ST-CORONA","01/02/2020",19022,13727,32749,58.0842163119485
"379","104 ST","01/02/2020",3779,1713,5492,68.809176984705
"380","110 ST","01/02/2020",9671,8835,18506,52.258726899384
"381","111 ST","01/02/2020",14824,8416,23240,63.7865748709122
"382","116 ST","01/02/2020",27556,17161,44717,61.6230963615627
"383","116 ST-COLUMBIA","01/02/2020",7440,4303,11743,63.3568934684493
"384","121 ST","01/02/2020",2038,1332,3370,60.4747774480712
"385","125 ST","01/02/2020",65500,54529,120029,54.5701455481592
"386","135 ST","01/02/2020",16792,7675,24467,68.6312175583439
"387","137 ST CITY COL","01/02/2020",10260,9153,19413,52.8511821974965
"388","138/GRAND CONC","01/02/2020",2111,1638,3749,56.3083488930381
"389","14 ST","01/02/2020",48917,46656,95573,51.1828654536323
"390","14 ST-UNION SQ","01/02/2020",76527,74878,151405,50.5445658994089
"391","145 ST","01/02/2020",30162,25741,55903,53.9541706169615
