"","station_name","date","daily_entries","daily_exits","daily_total","percent_entries"
"28077","SUTTER AV","03/15/2020",1113,1090,2203,50.52202
"28078","SUTTER AV-RUTLD","03/15/2020",2126,2954,5080,41.85039
"28079","THIRTY ST","03/15/2020",1160,226,1386,83.69408
"28080","THIRTY THIRD ST","03/15/2020",4439,2469,6908,64.25883
"28081","TIMES SQ-42 ST","03/15/2020",20241,21546,41787,48.43851
"28082","TREMONT AV","03/15/2020",3281,2777,6058,54.15979
"28083","TWENTY THIRD ST","03/15/2020",1246,1798,3044,40.93298
"28084","UNION ST","03/15/2020",1519,1574,3093,49.1109
"28085","UTICA AV","03/15/2020",4868,4278,9146,53.22545
"28086","V.CORTLANDT PK","03/15/2020",1465,902,2367,61.89269
"28087","VAN SICLEN AV","03/15/2020",1952,2672,4624,42.21453
"28088","VAN SICLEN AVE","03/15/2020",977,1212,2189,44.63225
"28089","VERNON-JACKSON","03/15/2020",3318,3135,6453,51.41795
"28090","W 4 ST-WASH SQ","03/15/2020",9613,9187,18800,51.13298
"28091","W 8 ST-AQUARIUM","03/15/2020",614,540,1154,53.20624
"28092","WAKEFIELD/241","03/15/2020",1856,2416,4272,43.44569
"28093","WALL ST","03/15/2020",3693,3545,7238,51.02238
"28094","WEST FARMS SQ","03/15/2020",1600,1622,3222,49.6586
"28095","WESTCHESTER SQ","03/15/2020",1509,1843,3352,45.0179
"28096","WHITEHALL S-FRY","03/15/2020",2322,2607,4929,47.10895
"28097","WHITLOCK AV","03/15/2020",704,1027,1731,40.67013
"28098","WILSON AV","03/15/2020",1314,1536,2850,46.10526
"28099","WINTHROP ST","03/15/2020",1510,586,2096,72.04198
"28100","WOODHAVEN BLVD","03/15/2020",7647,39492,47139,16.22224
"28101","WOODLAWN","03/15/2020",1911,913,2824,67.66997
"28102","WORLD TRADE CTR","03/15/2020",297,38,335,88.65672
"28103","WTC-CORTLANDT","03/15/2020",1296,1334,2630,49.27757
"28104","YORK ST","03/15/2020",2555,1974,4529,56.41422
"28105","ZEREGA AV","03/15/2020",681,775,1456,46.77198
"28106","1 AV","03/16/2020",5193,7747,12940,40.13138
"28107","103 ST","03/16/2020",12753,11358,24111,52.89287
"28108","103 ST-CORONA","03/16/2020",13819,9062,22881,60.39509
"28109","104 ST","03/16/2020",2412,1167,3579,67.39313
"28110","110 ST","03/16/2020",5201,5588,10789,48.20651
"28111","111 ST","03/16/2020",10414,6507,16921,61.54483
"28112","116 ST","03/16/2020",15430,11973,27403,56.3077
"28113","116 ST-COLUMBIA","03/16/2020",2784,2260,5044,55.19429
